id,issn,citescore,rank5,rank10
53e99792b7602d9701f5b3b6,02776715,1.99,0,1
53e99796b7602d9701f5e172,00225193,1.93,0,1
53e997a2b7602d9701f73f10,09434062,0.98,2,4
53e997a6b7602d9701f78af9,13674811,7.84,0,0
53e997a6b7602d9701f7a6d3,18770541,0.88,2,4
53e997aeb7602d9701f8da92,18638279,1.02,2,4
53e997b2b7602d9701f912d5,00225193,1.93,0,1
53e997ccb7602d9701fbf03d,03032647,1.61,1,2
53e997ccb7602d9701fbf070,00273171,2.75,0,0
53e997ccb7602d9701fbff6e,13674811,7.84,0,0
53e997d7b7602d9701fcad93,00225193,1.93,0,1
53e997d7b7602d9701fcc592,13674811,7.84,0,0
53e997dcb7602d9701fd198c,0006341X,1.5,1,2
53e997ddb7602d9701fd3813,19316690,1.39,1,2
53e997ddb7602d9701fd43d7,10970258,1.99,0,1
53e997ddb7602d9701fd71fb,03032647,1.61,1,2
53e997ddb7602d9701fd73fe,13674803,7.84,0,0
53e997e3b7602d9701fd81eb,13674811,7.84,0,0
53e997e3b7602d9701fd87c2,02776715,1.99,0,1
53e997e3b7602d9701fd898b,13674803,7.84,0,0
53e997e3b7602d9701fd8e2f,15410420,1.5,1,2
53e997e3b7602d9701fd9441,02776715,1.99,0,1
53e997e3b7602d9701fd95ae,03032647,1.61,1,2
53e997e3b7602d9701fd973f,02331888,0.82,2,5
53e997e4b7602d9701fdebc2,10543406,0.77,2,5
53e997e8b7602d9701fdfee8,13674803,7.84,0,0
53e997e8b7602d9701fe0159,13674811,7.84,0,0
53e997e8b7602d9701fe1a23,13674811,7.84,0,0
53e997e9b7602d9701fe50db,02776715,1.99,0,1
53e997e9b7602d9701fe5f77,14321270,0.49,3,7
53e997ecb7602d9701febb00,03032647,1.61,1,2
53e997f1b7602d9701ff23e8,14321122,1.99,0,1
53e997f1b7602d9701ff52d6,13674803,7.84,0,0
53e99800b7602d970200d57f,13674811,7.84,0,0
53e99800b7602d970200f393,03032647,1.61,1,2
53e99804b7602d97020186d5,03032647,1.61,1,2
53e99809b7602d970201c84c,15391612,1.11,1,3
53e9980eb7602d97020217bf,13674811,7.84,0,0
53e9980eb7602d9702021ba5,00255564,1.58,1,2
53e9980eb7602d9702022af6,14684357,1.69,0,1
53e9980eb7602d9702022be6,13674811,7.84,0,0
53e9980eb7602d9702025b37,03032647,1.61,1,2
53e99813b7602d97020291e5,13674803,7.84,0,0
53e99818b7602d9702035210,13674811,7.84,0,0
53e9981db7602d970203b941,17518121,1.74,0,1
53e9981db7602d970203c14c,13674803,7.84,0,0
53e99821b7602d970203e81d,13674803,7.84,0,0
53e99822b7602d9702041f58,00255564,1.58,1,2
53e99827b7602d9702048456,13674811,7.84,0,0
53e99827b7602d970204adc1,15731375,2.37,0,0
53e9982cb7602d97020541e1,13674803,7.84,0,0
53e9983db7602d9702065ed3,03032647,1.61,1,2
53e9983db7602d9702069421,1471082X,1.18,1,3
53e99842b7602d9702070dd8,19348045,0.36,4,8
53e99842b7602d9702070e15,18638279,1.02,2,4
53e99845b7602d9702071f1f,03032647,1.61,1,2
53e99845b7602d970207326a,00255564,1.58,1,2
53e99846b7602d9702074c87,15410420,1.5,1,2
53e99846b7602d9702075cd4,15410420,1.5,1,2
53e99854b7602d970208cf92,13674811,7.84,0,0
53e99858b7602d97020914fb,00255564,1.58,1,2
53e99858b7602d97020915af,02776715,1.99,0,1
53e99858b7602d97020918d1,13674811,7.84,0,0
53e99858b7602d9702092cfd,03032647,1.61,1,2
53e99858b7602d97020933c9,13674811,7.84,0,0
53e99859b7602d9702094bca,15205711,0.77,2,5
53e99859b7602d97020953e6,13674811,7.84,0,0
53e99859b7602d97020954f3,0006341X,1.5,1,2
53e99859b7602d970209599c,13674811,7.84,0,0
53e9985fb7602d9702097ad6,02776715,1.99,0,1
53e9985fb7602d9702098230,00225193,1.93,0,1
53e9985fb7602d9702098f28,13674803,7.84,0,0
53e9985fb7602d97020997a2,02776715,1.99,0,1
53e9985fb7602d970209a2c5,10958541,1.93,0,1
53e9985fb7602d970209a2ef,13674803,7.84,0,0
53e9985fb7602d970209b284,15737845,1.07,1,3
53e9985fb7602d970209b5a4,10543406,0.77,2,5
53e99860b7602d970209c758,13674811,7.84,0,0
53e99866b7602d970209f392,13674811,7.84,0,0
53e99866b7602d97020a013b,13674811,7.84,0,0
53e99866b7602d97020a09b0,13674803,7.84,0,0
53e99867b7602d97020a22ae,02776715,1.99,0,1
53e99867b7602d97020a23e9,13674803,7.84,0,0
53e99867b7602d97020a2c20,13674811,7.84,0,0
53e99867b7602d97020a2c9b,15737845,1.07,1,3
53e99867b7602d97020a2e74,13674811,7.84,0,0
53e99867b7602d97020a4031,00255564,1.58,1,2
53e99867b7602d97020a4891,1435926X,0.84,2,5
53e9986eb7602d97020a5a2a,15574679,0.97,2,4
53e9986eb7602d97020a6418,13674811,7.84,0,0
53e9986eb7602d97020a6dc0,13674811,7.84,0,0
53e9986eb7602d97020a786a,13674811,7.84,0,0
53e9986eb7602d97020a7b6d,13674811,7.84,0,0
53e9986eb7602d97020a83cd,13674811,7.84,0,0
53e9986eb7602d97020a92f2,00255564,1.58,1,2
53e9986eb7602d97020aa1ea,15733009,0.77,2,5
53e9986eb7602d97020ab7d0,13674811,7.84,0,0
53e9986eb7602d97020abafb,14684357,1.69,0,1
53e99875b7602d97020ae15c,19466315,0.75,2,5
53e99876b7602d97020aefdd,02776715,1.99,0,1
53e99876b7602d97020af08f,10958541,1.93,0,1
53e99876b7602d97020b023b,00071102,4.62,0,0
53e99876b7602d97020b072a,13674811,7.84,0,0
53e99876b7602d97020b08f7,13674811,7.84,0,0
53e99876b7602d97020b0a65,13674811,7.84,0,0
53e99876b7602d97020b2235,13674811,7.84,0,0
53e99876b7602d97020b2a73,03032647,1.61,1,2
53e9987db7602d97020b521f,15410420,1.5,1,2
53e9987db7602d97020b653a,02776715,1.99,0,1
53e9987db7602d97020b797a,10970258,1.99,0,1
53e9987db7602d97020b7ce6,10505164,1.93,0,1
53e9987db7602d97020b801c,13674803,7.84,0,0
53e9987db7602d97020b8694,0006341X,1.5,1,2
53e9987db7602d97020b8e74,10958541,1.93,0,1
53e9987db7602d97020b9581,13674811,7.84,0,0
53e9987db7602d97020b95cf,13674803,7.84,0,0
53e9987db7602d97020ba030,13674803,7.84,0,0
53e9987eb7602d97020baa01,0885064X,1.24,1,3
53e99884b7602d97020bc2ef,13674811,7.84,0,0
53e99884b7602d97020bcab9,00255564,1.58,1,2
53e99884b7602d97020bcefe,13674803,7.84,0,0
53e99885b7602d97020bd774,10543406,0.77,2,5
53e99885b7602d97020bd8f7,00255564,1.58,1,2
53e99885b7602d97020be1b0,13674811,7.84,0,0
53e99885b7602d97020bf5bf,02776715,1.99,0,1
53e99885b7602d97020bfff2,13674803,7.84,0,0
53e99885b7602d97020c173c,13674811,7.84,0,0
53e9988bb7602d97020c2f55,00255564,1.58,1,2
53e9988bb7602d97020c40af,10543406,0.77,2,5
53e9988bb7602d97020c4311,13674803,7.84,0,0
53e9988cb7602d97020c61af,0006341X,1.5,1,2
53e9988cb7602d97020c738b,13674811,7.84,0,0
53e9988cb7602d97020c7cb1,13674811,7.84,0,0
53e9988cb7602d97020c8608,10970258,1.99,0,1
53e9988cb7602d97020c8701,13674811,7.84,0,0
53e9988cb7602d97020c96ff,14684357,1.69,0,1
53e9988cb7602d97020c9872,14654644,1.69,0,1
53e99893b7602d97020ca176,13674803,7.84,0,0
